"IENTITY";"TENTCODE";"TENTDESC";"TENTTYPE";"NSTART";"NEND"
1;"XF_DE001";"Allianz SE";"Holding";1;120
2;"XF_DE0836";"Allianz Deutschland AG";"Holding";1;120
3;"XF_DE0073";"Jota Vermögensverwaltungs Gmbh";"Holding";1;120
4;"XF_DE1132";"AZL Vermögensverwaltungs Gmbh";"Holding";1;120
5;"XF_DE0028";"Allianz Lebensversicherungs AG";"Holding";1;120
6;"XF_DE0050";"Allianz Versicherungs AG";"Holding";1;120
7;"A1";"A1 (DH)";"Company";1;120
107;"10A1";"A1 (DH)";"Company";1;120
207;"20A1";"A1 (DH)";"Company";1;120
307;"30A1";"A1 (DH)";"Company";1;120
407;"40A1";"A1 (DH)";"Company";1;120
507;"50A1";"A1 (DH)";"Company";1;120
8;"A2";"A2 (PC)";"Company";1;120
108;"10A2";"A2 (PC)";"Company";1;120
208;"20A2";"A2 (PC)";"Company";1;120
308;"30A2";"A2 (PC)";"Company";1;120
408;"40A2";"A2 (PC)";"Company";1;120
508;"50A2";"A2 (PC)";"Company";1;120
9;"A3";"A3 (JV)";"Company";1;120
109;"10A3";"A3 (JV)";"Company";1;120
209;"20A3";"A3 (JV)";"Company";1;120
309;"30A3";"A3 (JV)";"Company";1;120
409;"40A3";"A3 (JV)";"Company";1;120
509;"50A3";"A3 (JV)";"Company";1;120
10;"A4";"A4 (FU)";"Company";1;120
1010;"10A4";"A4 (FU)";"Company";1;120
2010;"20A4";"A4 (FU)";"Company";1;120
3010;"30A4";"A4 (FU)";"Company";1;120
4010;"40A4";"A4 (FU)";"Company";1;120
5010;"50A4";"A4 (FU)";"Company";1;120
11;"B1";"B1 (DH)";"Holding";1;120
12;"B2";"B2 (PC)";"Holding";1;120
13;"B3";"B3 (JV)";"Holding";1;120
14;"B4";"B4 (FU)";"Company";1;120
1014;"10B4";"B4 (FU)";"Company";1;120
2014;"20B4";"B4 (FU)";"Company";1;120
3014;"30B4";"B4 (FU)";"Company";1;120
4014;"40B4";"B4 (FU)";"Company";1;120
5014;"50B4";"B4 (FU)";"Company";1;120
15;"B5";"B5 (JV)";"Company";1;120
1015;"10B5";"B5 (JV)";"Company";1;120
2015;"20B5";"B5 (JV)";"Company";1;120
3015;"30B5";"B5 (JV)";"Company";1;120
4015;"40B5";"B5 (JV)";"Company";1;120
5015;"50B5";"B5 (JV)";"Company";1;120
16;"B6";"B6 (PC)";"Company";1;120
1016;"10B6";"B6 (PC)";"Company";1;120
2016;"20B6";"B6 (PC)";"Company";1;120
3016;"30B6";"B6 (PC)";"Company";1;120
4016;"40B6";"B6 (PC)";"Company";1;120
5016;"50B6";"B6 (PC)";"Company";1;120
17;"BC1";"BC1 (DH)";"Company";1;120
1017;"10BC1";"BC1 (DH)";"Company";1;120
2017;"20BC1";"BC1 (DH)";"Company";1;120
3017;"30BC1";"BC1 (DH)";"Company";1;120
4017;"40BC1";"BC1 (DH)";"Company";1;120
5017;"50BC1";"BC1 (DH)";"Company";1;120
18;"C1";"C1 (DH)";"Company";1;120
1018;"10C1";"C1 (DH)";"Company";1;120
